timestamp,source,goal_id,goal_status,selected_action,reward,success,state_vector,action_probs,model_name
1751946491,manual,manual_tracking,active,0,1.0,True,"[1.0, 0.9985407590866089, 0.576064453125, -0.014843749999999933, -0.001041666666666663, 0.026064453124999942, 0.5413076877593994, 1.0, -0.4171875, 0.5833333333333334, 0.3352476420972362, 0.014880254819959988, 131.73, -0.446875]",,
1751946492,manual,manual_tracking,active,0,1.0,True,"[0.0, 0.8536818027496338, 0.7904427083333333, -0.31171875000000004, -0.001041666666666663, 0.2143782552083333, 0.9661319255828857, 0.0, 0.20625, 0.7970711297071129, 0.5356118289998654, 0.31172049045740796, 94.38, -0.4171875]",,
1751946493,manual,manual_tracking,active,3,1.0,True,"[1.0, 0.6103420853614807, 0.7499967447916667, -0.01953125, 0.001041666666666663, -0.04044596354166663, 0.5538191795349121, 0.0, 0.2453125, 0.7531315240083507, 0.34546165750361885, 0.01955900805273479, 93.93, 0.20625]",,
1751946495,manual,manual_tracking,active,0,1.0,True,"[1.0, 0.6731805205345154, 0.6612955729166666, -0.03281250000000002, -0.001041666666666663, -0.0668717447916668, 0.5532402992248535, 3.0, 0.3359375, 0.6668410041841004, 0.2956215650802581, 0.03282903022774882, 40.97, 0.2453125]",,
1751946496,manual,manual_tracking,active,2,1.0,True,"[1.0, 0.5923507213592529, 0.8131217447916667, 0.08750000000000002, -0.0010416666666666075, 0.21012695312499996, 0.5948114395141602, 0.0, -0.0734375, 0.9720956719817768, 0.4462818413805956, 0.08750620017715573, 57.18, 0.3359375]",,
1751946497,manual,manual_tracking,active,4,1.0,True,"[1.0, 0.966044545173645, 0.6068359375, -0.061718750000000044, -0.038541666666666696, -0.20628580729166668, 0.622234582901001, 2.0, 0.05, 0.6119246861924686, 0.5569190198753494, 0.07276444304058784, 81.81, -0.0734375]",,
1751946498,manual,manual_search,active,1,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.05, 0.0, 0.0, 0.0, 63.92, 0.05]",,
1751946499,manual,manual_search,active,0,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.05, 0.0, 0.0, 0.0, 36.6, 0.05]",,
1751946499,manual,manual_search,active,4,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 29.12, 0.05]",,
1751946500,manual,manual_tracking,active,2,1.0,True,"[0.0, 0.8684654235839844, 0.278701171875, -0.32734375, 0.023958333333333304, -0.328134765625, 2.811483383178711, 4.0, 0.7046875, 0.3129139072847682, 0.07147812595783033, 0.3282193358109385, 110.21, 0.05]",,
